O*NET-SOC Code,Title,oral_comprehension,oral_expression,fluency_of_ideas,originality,problem_sensitivity,deductive_reasoning,information_ordering,mathematical_reasoning,perceptual_speed,visualization,selective_attention,time_sharing,arm_hand_steadiness,finger_dexterity,multilimb_coordination,response_orientation,rate_control,reaction_time,wrist_finger_speed,speed_of_limb_movement,stamina,extent_flexibility,dynamic_flexibility,sound_localization,speech_clarity,label_ML,probability_ML
25-1052.00,"Chemistry Teachers, Postsecondary",5.38,5.5,3.38,3.5,3.88,4.5,3.75,3.75,2.5,2.88,3.12,2.75,0.25,1.5,0,0,0,0,0.25,0,0,0,0,0,4.5,NA,
19-2031.00,Chemists,4.88,5,3.62,3.38,4.12,4.88,4.25,4.12,3,3.5,3,2.38,3,3.25,2.12,1.38,0.62,1.38,1.12,0,0.62,0.88,0,0,3.62,NA,
11-1011.00,Chief Executives,4.88,4.88,4.62,4.25,4.88,4.75,4.12,3.75,3,3.38,3.12,2.88,0.5,1,0.75,0.38,0.38,0.38,0.5,0,0,0,0,0.38,4.75,0,
11-1011.03,Chief Sustainability Officers,4.62,4.75,4.12,4,4.12,4.75,3.75,3,2.12,2.88,3,2.38,0,1.38,0.5,0,0,0,0.12,0,0,0,0,0,3.75,NA,
21-1021.00,"Child, Family, and School Social Workers",4.12,4.12,3.38,3.38,4.38,3.88,3.38,2.38,2.62,2,3,2.75,1.12,1.25,1.75,1.12,0.62,1.25,0.62,0.12,1.25,0.62,0,0.5,3.88,NA,
39-9011.00,Childcare Workers,3.75,3.5,3,2.88,3.38,3,3,1.88,2.38,2.62,3.12,2.88,2.62,2.38,2,0.12,0,0.25,0.5,0.88,2.12,2.62,0.25,0.12,3,0,
29-1011.00,Chiropractors,4.75,4.25,3.12,3.12,4.75,4.38,3.88,2.75,2.88,3,2.88,2.62,3,3,3,1.88,0.75,1.5,1.75,1.12,2,3.12,0,0,3.38,NA,
27-2032.00,Choreographers,4,4.25,4,4.25,3.62,3.5,3.38,1.25,2.5,3.62,3,2.88,3,2,3.88,1.25,0.25,0.62,0.75,2.88,3.88,4.12,2.88,0,3.88,NA,
17-3022.00,Civil Engineering Technologists and Technicians,4.12,4,3.12,2.88,3.88,4,3.88,3.75,2.88,4,3,2.62,1.88,2.38,1.25,0.75,0.62,1.12,0.88,0,0,0,0,0.38,3.12,NA,
17-2051.00,Civil Engineers,5,5,4,4,4.75,4.88,4,4.75,3.75,4.12,3.12,2.75,0,1.62,0.5,0,0,0,0.5,0,0,0,0,0,3.75,0,
13-1031.00,"Claims Adjusters, Examiners, and Investigators",4.5,4.5,2.88,2.62,3.88,4.38,3.5,3.12,2.62,2.38,2.62,2.38,1,1,0,0,0,0,1.38,0.12,0,0,0,0,3.5,1,
53-7061.00,Cleaners of Vehicles and Equipment,3,2.38,1.12,0.75,2.5,2.5,2.38,0.88,1.75,2,2,2.12,2.5,2.75,3,2,1.75,2,1.62,1.5,2.62,3.12,0.62,0.38,2.12,NA,
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2.88,2.38,2,1.5,2.5,2.38,2.75,1.38,3,2.38,2.75,2.25,3,2.88,2.88,2.12,1.75,2.62,1.88,1.75,2.25,3,0.12,0.75,2.5,NA,
21-2011.00,Clergy,4,4.5,3.88,3.88,4.38,4,3.62,1.62,2.38,2,3.12,2.88,0,0.38,0.25,0,0,0,0.75,0,0,0,0,0,5.5,0,
19-2041.01,Climate Change Policy Analysts,4.25,4.25,3.12,3.5,4,4,3.75,3,2.12,2.62,3,2.62,0,0.62,0,0,0,0,0.12,0,0,0,0,0,3.88,NA,
19-3033.00,Clinical and Counseling Psychologists,4.62,4.75,3.88,3.75,4.25,3.88,3.75,2.38,2.25,2,2.62,2.38,0.12,0.12,0.12,0.12,0,0.12,1.25,0.12,0,0.12,0,0.38,3.88,NA,
15-2051.02,Clinical Data Managers,4.25,4.12,3.5,3.38,3.88,4.25,4,3.62,3,2.12,3,1.75,0.38,1.62,0,0,0,0,0.88,0,0,0,0,0,3.38,NA,
29-1141.04,Clinical Nurse Specialists,4.62,4.38,3.5,3.5,4.38,4.38,4,3,3,2.75,3.25,3,3.12,3,2.5,2.25,1.38,2,1.75,1.38,2.12,2,0.12,0,4.12,NA,
11-9121.01,Clinical Research Coordinators,4.38,4.25,3,3,4,4,4,3,2.88,2.88,2.88,2.88,0,1.75,0,0,0,0,0.75,0,0,0.12,0,0,3.75,NA,
27-2022.00,Coaches and Scouts,3.88,4.75,3.88,3.88,4,4.12,4,2,3.12,4.38,3.25,3,2.25,1.88,1.88,0,0,0,0.38,0.5,2.62,1.62,0.25,0.12,4,NA,
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",3,2.88,2.12,2,2.75,2.75,3,1.88,3.12,3.12,3,2.38,3.12,3.12,3.12,2.62,2.88,2.88,2,1.5,2.88,3.12,0.5,1.38,2.38,NA,
51-2021.00,"Coil Winders, Tapers, and Finishers",2.88,2.88,2,0.88,3,2.62,2.62,1,2.88,2.25,3,2.12,3.12,3.25,2.75,2.12,2.12,2.75,1.12,0.62,1.38,2.25,0.12,0.25,2.75,NA,
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",3,3,2.12,2,3,3,2.88,2,2.88,3.25,2.88,2.62,3,3.25,2.88,2.5,1.75,1.75,1.88,1.5,1.62,2.62,0.25,1,2.75,NA,
27-1021.00,Commercial and Industrial Designers,4,4,4,4.38,3.88,4.62,3.88,3.38,2.75,4.25,3.12,2.38,2.75,2.75,0.12,0,0.62,1.38,0.5,0,0,0,0,0,3.25,NA,
49-9092.00,Commercial Divers,4,3.88,3,3,3.75,3.5,3.25,2,3.62,3.38,3.25,3,3.62,3.5,3.75,2.88,2.38,3.12,2,1.88,3.12,4,0.88,1.88,3.12,NA,
53-2012.00,Commercial Pilots,4.25,4,3,3,4.75,4.25,4,2.75,3.88,3.38,4,3.88,3.12,3.12,4,4.38,3.62,4,2,1.75,1.12,1.88,0.12,2.38,3.88,NA,
25-1122.00,"Communications Teachers, Postsecondary",4.88,5,3.25,3.12,3.62,4,3.12,2.25,2.12,2.12,2.75,2.12,0.12,0.5,0,0,0,0,0.25,0,0,0,0,0.12,4.62,NA,
21-1094.00,Community Health Workers,3.88,3.88,3.5,3,3.75,3.75,3.12,2.62,2.62,2.5,2.88,2.75,2.75,3,2.25,2,1.88,1.75,1.38,1.62,1.88,1.38,0,1,3.88,NA,
11-3111.00,Compensation and Benefits Managers,4.12,4.12,3.38,3.12,3.5,3.5,3.12,3.38,2.12,1.62,2,2,0.25,0.12,0,0,0,0,0.62,0,0,0,0,0,3.88,NA,
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",4.12,4.12,3.25,3.25,3.75,3.88,3.75,3.5,2.62,2.5,2.88,2.12,0.38,1.5,0,0,0,0,0.25,0,0,0,0,0.12,3.62,NA,
11-9199.02,Compliance Managers,4.38,4.25,3.25,3,4.38,4.38,3.75,2.25,2.75,1.88,3,2.25,0.75,1.25,0.25,0.38,0.25,0.38,0.5,0.5,0.12,0,0,0.25,3.62,NA,
13-1041.00,Compliance Officers,4,4,3,3,3.62,3.62,3.25,2.38,2.88,2.25,3,2.88,1.88,2,2,2.12,1.25,2,1,0.38,1.75,2,0,1.25,3.62,0,
15-1221.00,Computer and Information Research Scientists,4.75,4.75,4.12,4.38,4.25,4.88,4.25,4.25,3,3.62,3,2.12,1.75,2.88,0,0.12,0,0,1,0,0,0,0,0,3.25,NA,
11-3021.00,Computer and Information Systems Managers,4.5,4.38,3.75,3.5,4,4,4,3,2.75,3,2.88,2.12,2,2,0.38,0.25,0.25,0.25,1.38,0,0,0,0,0,3.25,NA,
17-2061.00,Computer Hardware Engineers,4.75,4.12,3.88,4,4,4.25,4.12,3.38,3,3.88,3,1.88,2.25,2.62,0,0,0,0,0.75,0,0,0.38,0,0.12,3.12,NA,
15-1241.00,Computer Network Architects,4.25,4.25,3.62,3.5,3.75,4.38,4.25,3.5,3,3.38,3.25,2.38,1.75,2.12,0,0.25,0.12,0,1.5,0,0,1.38,0,0,3.38,NA,
15-1231.00,Computer Network Support Specialists,4.25,4,3.5,3.12,3.5,4,3.75,2.38,2.5,3.25,3.12,2.25,2.62,2.88,2,0,0,0,0.5,0,0,1.38,0,0.25,3,NA,
51-9161.00,Computer Numerically Controlled Tool Operators,3.75,3.62,3,2.88,3.62,3,3.38,3,3.12,3.75,3.5,2.75,3.5,3.38,3.25,2.88,3.12,3.5,2.88,2.12,2,2.5,0.25,2.25,2.88,NA,
51-9162.00,Computer Numerically Controlled Tool Programmers,3.88,3.62,3,3,3.25,3.5,3.75,3.62,3.12,3.88,3.25,2.5,2.75,3,2.88,2,2.38,3.12,2.25,1.12,1.75,1.75,0,0.12,2.75,NA,
15-1251.00,Computer Programmers,4,3.75,3.38,3.25,3.75,3.88,4,3.12,2.88,2.75,3.12,2.12,1.12,1.88,0,0,0,0,0.62,0,0,0,0,0,3.12,NA,
25-1021.00,"Computer Science Teachers, Postsecondary",5,5.25,3.5,3.62,3.5,3.88,3.88,3.88,2,2.75,2.88,2.12,0.75,1.62,0,0,0,0,0.12,0,0,0,0,0,4.62,NA,
15-1211.00,Computer Systems Analysts,4.5,4.38,4,3.62,4.12,4.12,4,3.5,3,3.62,3,2.12,1.62,2.75,0.12,0,0.12,0.25,0.88,0,0,0.5,0,0,3.12,NA,
15-1299.08,Computer Systems Engineers/Architects,4.5,4.12,4,4,4.12,4.25,3.88,3.25,3,3.38,3.25,2.25,1.38,2.12,0,0,0,0,0,0,0,0,0,0,3.25,NA,
15-1232.00,Computer User Support Specialists,4,4,3,3,3.62,3.5,3.62,2.38,3,2.88,2.88,2.5,2.62,2.88,1.62,0.75,0.62,0.62,2,0,0.38,1.62,0,0,3.25,NA,
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",3.62,3.75,2.75,2.88,3,3.12,3.12,1.62,2.88,3.5,3,2.75,3.25,3.38,2.5,1.88,2,2,1.88,0.75,1.12,2.38,0,1.38,2.88,NA,
39-6012.00,Concierges,4,4,3.12,3.12,3.38,3,2.88,2,2,2.12,2.62,2.12,0.75,0.88,0.88,0,0,0,0.75,0,0.75,0.5,0,0.12,3.88,0,
19-1031.00,Conservation Scientists,4.12,3.88,3.62,3.62,3.62,3.88,3.75,3.12,2.62,3,2.75,2.75,2.38,2.12,2.12,1.5,1.5,1.75,2.12,0.5,2,1.75,0.62,1,3.25,NA,
47-4011.00,Construction and Building Inspectors,4,4,3,3,4,4,3.38,2.75,3,3,3,2.62,2,1.5,2,1.12,1,1.38,0.25,0.5,1.88,2,0,1,3,NA,
47-2061.00,Construction Laborers,3.38,3.12,2.12,2,3,2.62,3,1.75,2.25,2.88,2.88,2.12,3.12,3,3.38,3,2.62,3.12,1.62,2,3.12,3.12,1.12,1.5,2.88,NA,
11-9021.00,Construction Managers,4.12,4.25,3.38,3.12,4.12,4.25,4.12,3.62,3.12,4.12,3,3.12,0.25,1.38,1.62,0,0,1.5,0.5,0,0.88,0.62,0,0,3.75,NA,
47-5041.00,Continuous Mining Machine Operators,3.5,3,2.38,2.25,3.62,3,3,1.38,3.25,3,3,2.88,3.12,3.12,3.88,3.5,3.5,4,1.75,2.25,2.75,3.25,0.75,2.62,2.38,NA,
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",3.75,3.25,2.75,2.75,3.12,3.25,3.38,2.12,3,3.25,3,2.75,3.12,3.12,3,2.38,1.75,2.38,1.5,1.88,2.12,3.62,0.5,1.25,3,NA,
53-7011.00,Conveyor Operators and Tenders,3.5,3.38,2.25,2.12,3.12,3,3.5,1.75,3.25,3,3.12,2.5,3.12,3,3.5,2.88,3.12,3.12,1.5,1.25,1.75,3,0.25,1.5,2.88,NA,
35-2011.00,"Cooks, Fast Food",3,2.75,2,2,2.62,2.75,2.88,1.12,1.88,1.5,2.62,2.5,2.5,2,2,0.75,0.5,1.12,1.25,1.12,1.88,2,0,0,2.62,1,
35-2012.00,"Cooks, Institution and Cafeteria",3.5,3.38,2.38,2.5,3.12,3,3.12,2.12,2.5,2.75,3,3,3,3,2.25,1.38,1.62,1.88,2.25,1.5,2,2.12,0.5,0,2.88,NA,
35-2013.00,"Cooks, Private Household",3.38,3,3.12,3.12,3.12,3.12,3,2,2.25,2.38,3,2.12,3,3,2.88,1.62,1,1.12,2.12,0,1.75,2.5,0.38,0,2.88,NA,
35-2014.00,"Cooks, Restaurant",3,3.25,2.38,3,3,2.88,3.12,2.12,3,2.88,2.88,2.88,3,3,2.62,1.62,1.62,2.12,2.25,1.25,2,2.75,0.38,0.12,2.5,NA,
35-2015.00,"Cooks, Short Order",3,3,2.25,2.38,2.88,2.88,3,2.12,2.88,2.5,2.88,2.88,2.75,2.88,2.12,1,2,1.88,0.38,1.25,2,2.5,0,0,2.88,NA,
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,3,3,2.38,2.38,3.12,3,3,2.38,3.5,3.12,3.25,2.25,3,3.12,3,2.12,2.88,3.12,2.25,1.62,2.38,3,0.12,1.38,2.75,NA,
13-1041.06,Coroners,4.75,4.62,3.25,3,4,4.12,4.12,2.5,3,3.12,3,2.62,3.12,3.12,2.75,1.12,0.62,1.5,0.62,0.25,1.75,2.25,0,0.75,3.62,NA,
33-3012.00,Correctional Officers and Jailers,3.88,3.88,2.88,2.25,4,3.5,3,1.88,3,3,3.75,3,3,3,3,3,2,3,1.38,2.75,3.12,3,0.25,2.12,3.62,NA,
43-4021.00,Correspondence Clerks,3.88,3.88,3,2.75,3,3,3,2.62,2.12,2,3,1.88,0.12,1.12,0,0,0,0,1.62,0,0,0,0,0,2.88,NA,
13-1051.00,Cost Estimators,4.12,4.12,3.5,3,3.38,4.12,4,4.12,2.75,3,3,1.75,0,0.5,0,0,0,0,0.75,0,0,0,0,0,3.25,1,
39-3092.00,Costume Attendants,3.88,3.12,3.12,3.12,3,2.88,3,1,2.25,2.75,2.75,1.38,3,3,2.25,0.5,0.62,1.12,1.25,0.38,1.5,1.88,0,0,2.88,NA,
41-2021.00,Counter and Rental Clerks,3.88,3.75,2.12,2.12,2.75,2.88,3,2.38,2.12,2.12,3,2.62,2.12,2,2,1.75,1.12,1.62,1.38,0.5,1.38,1.38,0,0.62,3.25,NA,
43-5021.00,Couriers and Messengers,3.12,3,1.75,1.88,2.62,2.88,3,1.62,2.62,2.12,2.62,2.88,2.62,2.5,3.12,3.12,2.38,2.25,1,1.62,2.62,2.75,0.75,2,2.88,1,
27-3092.00,Court Reporters and Simultaneous Captioners,3.88,4,1.5,1.12,2.62,2.88,3,1.12,2.25,1.25,3,2.12,2.25,3,0.62,0.62,0.12,0.5,2.75,0,0,0.12,0,0,3,NA,
43-4031.00,"Court, Municipal, and License Clerks",3.62,3.75,2.5,2,2.88,3.12,3,2.12,2.12,1.62,2.38,2.38,1.75,1.88,0,0.38,0,0.12,2.25,0,0,0,0,0,3.12,NA,
27-1012.00,Craft Artists,3,3,3.62,3.88,2.5,3,3,2.12,2,3.88,2.62,2.12,3.88,3.88,3.12,1.75,2,2.38,2.12,0.25,1.75,2.62,0.12,0,2.88,NA,
53-7021.00,Crane and Tower Operators,3.5,3.12,2.12,2.12,2.88,3,2.75,2.12,3.12,3.12,3.12,2.5,3.12,3,4,3.5,3.75,3.88,2.5,2.25,1.75,2.62,0,2,3,NA,
13-2041.00,Credit Analysts,4.12,4.12,2.88,2.62,4,4.5,3.62,4.12,3.12,1.75,2.88,2,0.75,1.75,0,0,0,0,0.38,0,0,0,0,0,3.12,1,
43-4041.00,"Credit Authorizers, Checkers, and Clerks",3.88,3.94,2.19,1.94,3.31,3.38,3.25,1.81,1.81,0.88,2.88,2.38,0.44,1.94,0,0,0,0,0.25,0,0,0,0,0,3.13,1,
13-2071.00,Credit Counselors,4,4,3.62,3.12,3.88,3.75,3.12,3.12,2.12,2,3,2.5,0.88,1.5,0,0,0,0,0.38,0,0,0,0,0,3.5,NA,
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",5,5,3.12,3,3.75,3.88,3.25,2.38,2,2,2.75,2.5,0,0.62,0,0,0,0,0.12,0,0,0,0,0,4.5,NA,
29-1141.03,Critical Care Nurses,4.62,4.12,3.62,3.25,5,4.12,3.88,3,3.88,2.88,3.75,3,3.62,3.12,2.88,2.12,1.62,2.62,2.12,1.75,2.12,2.75,0,0,3.88,NA,
33-9091.00,Crossing Guards and Flaggers,3.12,3.62,0.88,0.88,3.12,2.62,2.38,0.38,2,1.25,2.88,2.5,2,1.88,2,1.12,0.5,2.5,0.5,1.75,2,1.75,0.25,0.75,3,NA,
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",3.12,3.12,2.25,2.12,3,3,3.25,2,3.25,3,3.12,2.88,3.12,3.12,3.25,3,3,3.75,2,2,2.75,2.88,0.62,2,3,NA,
25-4012.00,Curators,4.38,4.5,4,4.12,4.12,4.38,3.75,3.25,2.75,3.88,3.12,2.62,2.12,2.12,1.25,0.12,0,0,0.62,0,1,0.75,0,0,3.88,0,
43-4051.00,Customer Service Representatives,3.75,3.88,2.62,2.62,3.25,3.12,3,2.12,2.38,2.12,2.88,2.12,1.62,2.12,0.25,0,0,0,0.62,0,0.25,0.38,0,0,3.25,NA,
33-3051.04,Customs and Border Protection Officers,4,4,2.88,2.38,4.12,4,3.38,2.12,3.12,2.38,3.38,2.75,2.25,2.88,2.75,2.25,1.88,2.75,0.88,1.88,2,2.5,0,1.12,3.88,NA,
13-1041.08,Customs Brokers,4,3.88,3,3,3.12,3.25,3.38,3,2.75,2,3,2.62,0,1.25,0,0,0,0,0.12,0,0,0,0,0,3,NA,
51-9031.00,"Cutters and Trimmers, Hand",3.12,2.88,2,1.75,2.62,2.62,3,1,2.25,2.38,3,2,3.12,3.12,2.88,1.38,2,2.62,1.75,0.88,1.12,2.38,0.12,0,2.38,NA,
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",3.25,3,2.25,2,2.88,2.88,3.12,2,3.25,3.38,3.25,2.12,3.25,3.62,3.38,2.88,3.12,3.5,2.75,1.62,2.38,3.12,0.62,0.88,2.62,NA,
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",3,3,1.75,1.88,3,3,3,2,3.25,3.38,3,2.5,3.25,3.12,3.5,2.62,2.88,3.38,1.88,1.62,2.25,3.12,0.25,1.5,2.62,NA,
29-2011.01,Cytogenetic Technologists,4.38,4.5,2.88,3,4,4.12,4,3,3.25,3,3.12,2.12,3.12,3.12,1.88,1.25,1,1,1.12,0,0,0.75,0,0,3.12,NA,
29-2011.02,Cytotechnologists,4.12,3.88,2.38,2.25,4,3.88,4,2.75,3,3.12,3.25,2,3.62,3.75,2.38,1.38,1.25,1.62,1.88,0,0.12,0.5,0,0,3,NA,
27-2031.00,Dancers,3.88,3.38,2.75,3.38,2.75,2.75,3.12,0.5,2.5,2.75,2.88,2,2.38,2,3.75,0.88,1.62,0.62,0,3.38,4.62,4.88,4.25,0,3,NA,
43-9021.00,Data Entry Keyers,3.12,3,2.38,2,2.88,2.75,3,2,2.75,2,2.88,2,2,3,0.62,0,1,0.75,3.62,0,0.62,1.5,0,0,3,1,
15-1243.01,Data Warehousing Specialists,4,4,3.25,3.25,3.5,4,4,3.12,2.88,2.75,3,1.75,0.38,0.25,0,0,0,0,1.38,0.12,0,0,0,0,3,NA,
15-1242.00,Database Administrators,4.12,4.25,3.62,3.5,3.88,4.12,4.12,3.12,3,3,3,2,1.88,1.62,0,0.38,0,0.12,0.5,0,0.12,0,0,0,3,NA,
15-1243.00,Database Architects,4.5,4,3.75,3.88,3.88,4.38,4.12,3.25,3,3,3,2.12,1.12,1.12,0,0,0,0,1.5,0,0,0,0,0,3,NA,
41-9011.00,Demonstrators and Product Promoters,3.75,3.88,3,3,3,3,3,2.12,2.5,3.12,2.88,3,1.88,1.75,2,0,0.62,0.62,0.5,0,1.75,2,0,0,4,NA,
31-9091.00,Dental Assistants,4,3.88,2.88,2.5,3.25,3.25,3,2,2.38,2.62,3,2.88,3.38,3.12,2.88,1.75,1.5,1.62,2,1.38,1.88,2.62,0.25,0,3,NA,
29-1292.00,Dental Hygienists,3.88,3.88,2.62,2.12,4,3,3.12,1.88,3,3,3.12,2.88,3.75,3.75,2.88,1.5,1.5,1.62,2.12,0,1.75,2.62,0,0,3.12,NA,
51-9081.00,Dental Laboratory Technicians,3.88,3,2.75,2.75,3,2.88,3.25,2,3,3.75,3.25,2.38,3.75,4,2.75,1.25,1.88,2.38,2.25,0,0,1,0,0.38,2.88,NA,
29-1021.00,"Dentists, General",5,4.62,3.75,3.88,5.12,4.88,4,3.12,3.12,3.75,3.88,3.12,4.62,4.75,3.75,2.88,2.25,2.88,2.88,0.12,1.25,3,0.12,0,3.38,0,
29-1213.00,Dermatologists,4.75,4.88,3.62,3.5,5,5,3.75,2.88,3,2.88,3,2.38,3.75,3.75,2.25,0.25,0,0,0.62,0,0.88,1.75,0,0,3.75,NA,
47-5011.00,"Derrick Operators, Oil and Gas",3.75,3.75,2.13,2,3.38,2.88,3.13,2,3.38,3.38,3.5,3.13,3.13,3.38,3.88,3.38,3.38,4,2.63,3.25,3.25,4.13,0.38,2.13,3.13,NA,
43-9031.00,Desktop Publishers,4,3.88,3.75,3.88,3.25,3.62,3.88,2,3,4,3,2.5,2.5,2.62,1,1,0.5,0.38,1.88,0.38,0.62,0.5,0,0.5,3.12,NA,
33-3021.00,Detectives and Criminal Investigators,4.12,3.88,3.75,3.12,4.38,4.25,3.88,2.38,3,2.88,3.25,3.12,2.38,2.12,2.25,3,2.38,3.12,2,2.12,2.25,2.38,0.62,1.88,3.62,NA,
29-2032.00,Diagnostic Medical Sonographers,3.88,4,2.88,2.88,3.5,3.38,3.12,2.38,3.25,3,3.12,2.88,3,3,2.88,2.62,2,2,2,1.38,1.88,2.88,0,0,3.12,NA,
29-2051.00,Dietetic Technicians,4,3.88,3.25,3.12,3.25,3.5,3.12,3,2.75,2.88,2.88,2.88,2.88,2.75,2.12,2,1.25,1.5,2.12,1.25,1.88,2.25,0,0.12,3.12,NA,
29-1031.00,Dietitians and Nutritionists,4.88,4.88,3.62,3.88,4,4.12,4,3.12,2.88,2.5,2.88,2.25,0,1.62,0,0,0,0,0.38,0.12,0,0.12,0,0,4,0,
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,2.75,2.5,2.12,1.75,2.12,2.12,2.25,1.25,1.88,2,2.12,2,2.75,2.75,2.88,0.75,0.12,0.5,1.5,1.5,2.88,3,0.88,0,2.25,NA,
21-2021.00,"Directors, Religious Activities and Education",4,4.12,3.62,3.25,3.88,3.75,3.12,2.25,2.12,2.62,2.88,2.25,0,0.5,0.38,0,0,0,0.62,0,0.25,0.12,0.12,0,4,NA,
35-9021.00,Dishwashers,2.25,2.12,1.88,1.75,2,2,2.12,1.12,2.12,2,2.12,2,2.88,2.38,2.62,2,2.25,2,1.5,2.12,2.25,3,0.25,1,1.88,1,
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",4,4,2.75,2.75,3.25,3.62,3,2.25,2.75,2.12,3.12,2.75,1.12,2.12,0,0.12,0,0,0.62,0,0,0,0,0,4,NA,
15-1299.03,Document Management Specialists,4,4,3,3,3.62,3.62,3.88,2.62,2.75,2.88,3,2.62,1.88,2.25,0,0,0,0,0.25,0,0,0,0,0,3.25,NA,
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",3.62,3.75,3,3,2.88,2.88,2.88,1.62,0.5,1.25,2.38,2.12,0.12,0.75,0.12,0,0,0,0.5,0,0.25,0,0,0,3.5,NA,
53-7031.00,Dredge Operators,3.25,2.88,2,1.75,2.75,2.62,2.88,1.38,3.12,2.75,3,2.5,3.12,2.88,4,3.38,2.75,3.62,2.12,1.75,1.5,1.88,0.25,1.62,2.5,NA,
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3.12,2.88,2.12,2,3.12,3,3.12,2.25,3.25,3.38,3.12,2.88,3,3.62,3,2.5,2.88,3.5,1.75,0.75,2,2.38,0,1.12,2.5,NA,
53-3031.00,Driver/Sales Workers,3.75,3.75,2.75,2,3,3,3,1.75,2.75,2.12,2.62,2.62,2.25,2.88,3,2.62,2.25,2.5,1.75,1.38,2.25,2.88,0,2,3,NA,
47-2081.00,Drywall and Ceiling Tile Installers,3,3,2.25,2.12,2.88,2.88,2.88,1.88,2.62,3.5,2.88,2.38,3.12,3.25,3,1.88,1.75,2.88,1.88,2,3.12,3.88,0.62,0.75,2.38,NA,
47-5023.00,"Earth Drillers, Except Oil and Gas",3.5,3,2.12,2.12,3.62,3.12,3.12,1.75,3.5,3.25,3,2.88,3.12,3,3.88,2.88,3.12,3.88,1.88,1.38,1.62,2.38,0.25,1.88,2.88,NA,
25-1063.00,"Economics Teachers, Postsecondary",5,5,3.25,3,3.88,4.12,3.25,3.75,2.5,2.62,2.75,2.5,0,1.5,0,0,0,0,0.5,0,0,0,0,0,4.75,NA,
19-3011.00,Economists,4.88,4.88,4,3.5,4.12,4.38,3.62,4.25,2.25,2.5,2.75,2,0,0.88,0,0,0,0,0.12,0,0,0,0,0,4,0,
27-3041.00,Editors,4.25,4.12,4.25,3.88,3.38,3.75,3.62,1.88,3.25,3,3,2.38,1.38,2.5,0,0,0,0,0.88,0,0,0,0,0,3.5,NA,
11-9032.00,"Education Administrators, Kindergarten through Secondary",4.88,5,3.88,4,4.5,4.5,3.75,3.38,2.38,2.75,3,2.88,0.5,1.38,0.75,0.5,0,0.25,0.88,0,0.88,0.62,0,0,4.12,NA,
11-9033.00,"Education Administrators, Postsecondary",4.88,4.88,3.88,4,3.88,4,3.88,3.25,2.62,2.25,3,2.62,0.12,1.12,0,0,0,0,0,0,0,0,0,0,4.12,NA,
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4.12,4.38,3.62,3.5,4,4.12,3.62,2.88,2.5,2.5,3.12,2.75,1.88,1.75,0.75,0,0,0,0.88,0,0.88,1.12,0,0,3.88,NA,
25-1081.00,"Education Teachers, Postsecondary",5.12,5.12,3.25,3.25,3.88,4.25,3.38,2.25,2.25,1.38,2.88,2,0.75,1.12,0,0,0,0,0.5,0,0,0,0,0,5,NA,
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",4.5,4.5,3.88,3.75,4.38,4,3.12,2.5,2.12,2.38,3,2.88,0.38,1,0.12,0.88,0,0.88,0.38,0.12,1.5,0.38,0,0,4,NA,
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",3.75,3.12,2.88,2.88,3.12,3.25,3.38,2,3,3.62,3.5,2.88,3.5,4,3.12,3,2.88,3.12,2.75,1.88,2,3.38,0.25,2.12,2.75,NA,
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,4.22,4.03,3.09,3.03,3.85,3.94,3.91,3.28,3.12,3.66,3,2.53,3.12,3.25,2.19,1.81,1.13,1.97,1.59,0.03,0.53,1.12,0,0.21,3.03,NA,
51-2022.00,Electrical and Electronic Equipment Assemblers,3.5,3.12,2.38,2.12,3,3,3.12,1.5,2.88,3.75,2.88,2,3.62,3.75,2.88,2,1.88,2.38,2,0.62,1.5,2.38,0,0.38,2.75,1,
17-3012.00,Electrical and Electronics Drafters,4.25,4,3.12,3,3.38,3.75,3.62,2.88,2.88,3.88,2.88,2.38,2.25,2.25,0.38,0.5,0.38,0.38,1.75,0.12,0.12,0.12,0.12,0.12,3,1,
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",3.75,3.25,2.38,2.25,3.25,3,3.12,2.12,3,3.12,2.88,2.38,3.5,3.5,3,1.38,1.38,2,1.38,0.38,1.88,3.38,0,1,3,NA,
